Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
9.36,2,1,1.0,2,1,2.4,1.85,0.15,7.07,20.7765
4.19,1,1,1.0,1,1,4.07,1.89,0.19,69.06,57.28
47.5,1,2,2.0,1,1,4.39,0.51,0.3,95.55,57.28
48.32,1,1,2.0,1,1,2.49,0.61,0.44,67.25,61.5552
40.61,2,1,1.0,1,1,2.31,0.88,0.38,42.25,54.1018
15.93,2,1,2.0,1,1,2.44,1.5,0.42,20.67,35.016400000000004
5.79,3,1,4.0,1,1,4.63,1.83,0.24,107.07,40.9225
34.53,1,1,3.0,2,1,3.58,1.41,0.26,59.14,60.0471
22.57,2,1,1.0,1,1,3.4,1.41,0.18,105.98,62.77850000000001
6.98,2,2,2.0,1,1,2.32,0.78,0.18,72.37,20.791
25.26,3,1,2.0,3,1,3.95,1.71,0.12,82.53,57.0482
2.69,2,1,4.0,1,1,4.6,1.95,0.34,97.49,42.9921
45.56,2,1,3.0,1,1,3.88,0.9,0.5,80.8,85.88400000000001
13.68,3,2,3.0,3,1,3.88,0.63,0.17,50.78,29.4758
33.46,2,2,2.0,1,2,2.23,0.63,0.12,64.07,30.9982
16.27,1,1,1.0,1,1,2.34,1.25,0.41,97.35,64.05529999999999
26.48,1,2,3.0,2,1,2.15,1.25,0.2,47.97,44.844
27.79,3,1,2.0,1,1,2.77,0.72,0.43,49.63,44.119699999999995
10.06,1,1,2.0,2,2,2.41,1.16,0.38,16.0,20.1596
48.51,3,1,3.0,3,2,3.16,1.0,0.48,110.18,104.1764
38.98,2,1,3.0,1,1,3.16,1.28,0.26,15.47,57.0766
47.04,4,1,4.0,2,2,4.83,1.38,0.36,79.54,98.3796
44.85,3,2,1.0,2,2,3.83,0.51,0.29,52.52,41.9343
30.3,4,2,1.0,1,1,4.5,1.64,0.35,51.65,72.2695
46.17,2,1,4.0,2,1,4.13,1.57,0.28,83.15,99.8989
5.34,2,1,2.0,1,1,2.34,1.63,0.18,12.72,10.2366
10.6,2,1,3.0,2,1,4.21,1.63,0.3,73.28,32.342
3.22,2,1,3.0,1,2,2.83,1.63,0.31,93.78,37.1504
16.94,2,1,3.0,2,3,3.92,1.93,0.42,100.24,78.715
20.05,3,1,2.0,1,1,3.02,0.86,0.39,24.61,29.8609
14.3,4,1,3.0,3,1,4.99,0.99,0.37,108.2,59.181
41.61,3,2,3.0,1,2,2.79,0.78,0.15,106.41,47.314800000000005
18.48,2,1,4.0,2,1,2.84,1.37,0.39,106.41,69.6575
146.0670471598387,2,1,2.0,2,1,4.79,0.73,0.3,60.81,320.958663578238
27.59,3,2,1.0,2,2,2.07,1.03,0.46,67.33,61.459500000000006
7.91,1,1,4.0,2,1,4.09,1.55,0.47,110.69,68.3748
40.31,1,1,4.0,2,1,4.18,1.34,0.12,108.49,71.2142
4.65,2,1,1.0,2,2,4.51,1.08,0.43,56.54,33.8442
49.36,1,2,4.0,3,2,4.92,1.13,0.12,36.56,65.084
38.84,1,2,2.0,1,1,4.93,1.34,0.25,50.21,69.52810000000001
10.74,1,1,3.0,2,1,2.2,0.51,0.32,49.59,23.5462
1.27,1,1,2.0,3,1,4.47,0.62,0.16,37.99,11.3358
40.96,1,2,1.0,3,2,3.94,1.82,0.4,35.89,92.8432
35.64,4,2,1.0,3,2,3.94,0.62,0.1,104.02,36.4388
36.72,2,2,2.0,1,1,2.39,1.56,0.17,13.03,61.8883
38.79,2,1,2.0,1,1,3.95,1.88,0.33,82.93,104.2421
4.63,2,1,1.0,2,1,4.95,0.91,0.39,24.87,18.8626
18.56,1,2,1.0,2,3,4.74,1.35,0.47,44.62,45.385000000000005
6.68,4,2,2.0,2,1,3.32,1.35,0.38,12.08,16.9284
43.29,3,1,1.0,2,2,2.12,1.82,0.37,36.05,94.2463
31.54,1,1,2.0,3,1,3.09,1.91,0.26,93.37,87.6076
17.21,2,1,2.0,1,2,4.48,1.61,0.1,106.78,42.8661
4.11,3,2,2.0,3,2,4.1,0.63,0.15,30.48,11.2613
16.93,4,1,1.0,2,1,3.38,1.5,0.31,58.31,45.8161
16.93,2,1,4.0,1,3,2.17,1.12,0.37,59.09,42.9949
36.75,2,1,2.0,2,1,3.28,1.21,0.27,105.46,76.2217
44.47,4,1,1.0,2,1,3.41,0.57,0.39,92.72,57.9476
44.47,4,2,1.0,1,1,4.79,0.79,0.31,64.0,59.761300000000006
24.14,1,1,2.0,1,1,3.92,1.69,0.18,82.14,55.3948
6.86,4,2,2.0,3,1,2.93,1.18,0.18,102.45,29.4658
35.95,2,2,4.0,1,1,3.58,0.95,0.44,6.1,40.4165
38.28,2,1,1.0,2,1,4.92,1.08,0.39,51.33,63.56110000000001
28.5,2,1,1.0,2,1,4.92,1.78,0.46,109.33,105.9418
38.78,1,1,3.0,2,1,3.08,1.62,0.15,90.14,60.077
26.61,1,2,1.0,2,1,3.43,0.91,0.5,67.43,60.077
26.61,1,1,4.0,1,2,3.07,0.68,0.18,65.91,33.0286
21.95,1,1,3.0,2,1,4.05,0.88,0.1,44.99,27.865
2.25,3,2,3.0,1,1,3.99,1.88,0.5,80.37,40.65
6.29,2,1,3.0,1,1,4.15,1.37,0.21,80.37,29.645000000000003
2.54,1,2,2.0,1,1,2.8,1.3,0.37,53.11,25.7527
32.18,4,1,2.0,2,2,2.95,1.39,0.17,87.13,62.4923
16.4,3,1,1.0,1,2,2.38,1.05,0.33,104.04,53.9332
25.92,4,1,3.0,1,1,3.97,1.71,0.46,22.79,58.7766
45.47,4,2,4.0,1,2,2.12,1.28,0.23,56.93,73.4155
13.22,1,1,2.0,1,2,3.79,0.68,0.37,51.92,31.99
21.11,2,2,4.0,3,2,4.61,0.69,0.18,84.06,34.3067
38.02,3,1,4.0,3,1,3.35,1.31,0.35,33.73,66.2817
112.8309582902826,2,1,2.0,3,3,3.35,1.9,0.23,78.63,233.00828520738892
4.77,1,2,2.0,3,1,2.23,0.96,0.18,105.91,274.53508679715014
102.74755620694734,3,1,2.0,2,1,2.23,1.8,0.23,53.09,274.53508679715014
46.56,1,1,2.0,1,1,4.01,1.65,0.17,109.77,37.355900000000005
46.56,1,1,3.0,1,1,4.46,0.87,0.46,119.21,99.8038
40.6,2,2,3.0,2,1,2.73,0.55,0.26,17.2,29.532000000000004
32.04,2,1,3.0,1,1,3.26,0.65,0.2,31.8,30.446
43.7,1,1,3.0,1,1,4.52,1.59,0.28,114.29,106.0042
40.38,1,1,1.0,2,2,2.73,0.8,0.23,115.21,63.432300000000005
10.14,3,1,3.0,3,2,2.73,1.06,0.4,16.24,19.974400000000003
44.74,1,1,2.0,2,1,3.65,1.25,0.49,6.72,62.8678
27.43,1,2,4.0,1,2,2.58,1.59,0.28,23.53,52.7821
40.56,3,2,3.0,2,2,2.31,0.67,0.44,119.54,82.0828
44.91,4,1,1.0,1,2,4.73,1.11,0.33,25.7,63.0611
16.58,3,1,2.0,1,1,4.46,1.23,0.16,62.79,51.6275
6.39,3,1,4.0,3,1,4.28,1.31,0.38,102.57,51.6275
12.17,2,2,4.0,1,2,2.15,1.73,0.31,7.35,25.4826
21.93,2,1,3.0,1,1,4.53,0.76,0.46,74.52,48.024
41.08,1,1,4.0,1,1,3.31,1.71,0.46,36.86,90.5124
43.18,2,1,3.0,3,1,3.03,1.54,0.46,104.17,98.6948
1.34,1,2,3.0,2,1,3.64,1.33,0.46,37.6,22.718200000000003
26.03,1,1,2.0,2,1,2.27,1.55,0.4,83.98,76.20850000000002
21.45,3,1,2.0,2,1,4.27,1.12,0.3,82.54,53.056
11.88,2,1,1.0,2,2,3.75,0.71,0.34,30.47,22.544600000000003
6.87,1,1,2.0,2,2,2.56,1.5,0.23,9.0,14.935
17.54,1,1,2.0,1,2,2.56,1.29,0.49,52.06,50.696
16.84,2,2,3.0,1,1,2.55,1.46,0.37,38.26,85.6182
16.84,1,2,2.0,2,3,2.17,1.01,0.12,98.03,30.942000000000004
26.42,3,1,3.0,3,1,3.76,1.86,0.23,97.04,75.22040000000001
18.82,2,1,3.0,1,1,4.52,1.38,0.35,57.56,73.587
18.82,2,1,2.0,1,2,2.05,0.63,0.12,74.75,22.8766
48.62,2,2,1.0,1,2,2.15,1.17,0.11,74.49,67.2293
48.16,2,2,1.0,3,2,3.72,1.63,0.28,100.12,110.2544
109.61608204688008,2,1,4.0,3,1,4.46,1.69,0.23,53.88,327.21766546350466
15.74,2,2,4.0,2,2,2.98,1.24,0.28,36.68,44.7092
15.74,2,1,2.0,2,1,3.05,1.84,0.21,35.48,39.4624
14.96,1,1,1.0,2,2,3.79,0.9,0.17,66.66,28.5862
2.81,3,2,3.0,1,2,2.82,1.12,0.38,56.65,27.4942
30.87,3,1,4.0,2,1,2.08,1.85,0.31,55.61,76.4286
25.63,2,1,3.0,2,1,4.21,1.53,0.18,15.48,54.1556
3.52,3,1,4.0,2,2,3.88,1.53,0.23,87.64,29.4228
14.65,3,2,2.0,3,1,3.74,1.79,0.13,29.58,40.020700000000005
45.51,3,1,1.0,2,1,4.23,0.63,0.13,27.65,36.4958
12.74,3,1,4.0,1,2,4.03,1.8,0.16,52.47,35.357200000000006
8.1,2,2,1.0,3,1,2.62,0.98,0.13,31.19,14.6127
24.98,2,2,3.0,1,2,3.06,0.77,0.42,72.14,52.5934
49.3,2,1,2.0,1,1,2.38,0.86,0.4,47.72,63.866
12.86,3,1,1.0,1,1,2.39,1.13,0.4,56.62,39.5698
33.93,1,1,2.0,1,2,4.58,0.88,0.39,66.77,59.92869999999999
38.32,3,1,1.0,2,1,4.58,0.98,0.37,28.41,52.6453
12.64,3,1,3.0,2,1,3.89,0.7,0.29,22.91,20.3819
36.68,3,2,3.0,3,2,3.89,0.94,0.36,106.25,76.6192
19.02,3,1,2.0,2,1,2.55,1.36,0.12,54.88,35.0028
31.98,1,1,3.0,2,1,2.32,1.16,0.35,52.39,57.7533
32.04,3,1,4.0,1,1,4.44,1.02,0.41,9.1,40.8518
27.25,3,2,1.0,1,2,3.74,1.62,0.3,68.73,66.566
5.42,1,1,3.0,2,2,3.85,1.84,0.24,68.73,30.318
41.93,3,2,4.0,2,2,4.34,1.64,0.21,69.27,87.6519
10.14,3,1,2.0,3,1,4.11,1.0,0.36,86.31,51.9016
10.14,2,1,4.0,1,2,4.5,1.62,0.38,25.41,19.664499999999997
3.0,1,1,2.0,1,1,2.17,0.73,0.45,34.01,19.664499999999997
29.95,1,1,2.0,2,1,4.24,0.7,0.24,98.23,48.780199999999994
34.2,4,1,1.0,1,1,4.55,1.02,0.41,113.92,86.1412
1.81,4,1,1.0,1,2,2.86,1.71,0.32,20.63,12.5567
26.09,1,1,4.0,2,2,3.92,0.87,0.45,62.23,54.62179999999999
12.1,1,2,1.0,1,1,2.1,0.59,0.31,11.91,19.2643
32.61,2,2,1.0,2,1,2.1,0.7,0.31,11.91,31.3891
9.54,2,2,1.0,1,2,2.1,1.79,0.33,42.43,33.1785
34.86,3,1,4.0,1,1,3.74,1.45,0.4,21.52,62.895
19.95,1,1,3.0,1,1,2.5,0.88,0.49,66.38,15.0994
46.9,3,1,1.0,3,1,4.14,1.33,0.13,66.38,15.0994
7.74,2,1,1.0,1,1,2.71,1.29,0.12,21.54,15.0994
17.71,4,1,4.0,2,1,2.71,1.48,0.48,6.06,31.829600000000003
6.56,2,1,3.0,1,1,3.48,0.85,0.31,97.94,39.4174
46.31,2,1,1.0,2,2,4.74,1.8,0.35,74.71,96.939
43.99,4,1,2.0,1,1,2.64,0.96,0.29,74.71,66.5363
13.64,1,1,4.0,2,2,2.43,1.54,0.14,43.75,29.5606
33.34,4,2,1.0,2,1,4.28,0.52,0.41,72.33,51.2721
41.04,2,2,1.0,3,1,3.5,1.06,0.4,41.3,63.522400000000005
28.2,1,2,2.0,1,1,4.74,1.03,0.22,15.0,37.086
26.95,2,2,2.0,1,1,2.44,1.32,0.22,26.63,44.7548
12.85,3,1,4.0,1,3,3.94,0.61,0.13,26.63,23.4957
5.56,1,1,4.0,3,1,2.47,1.69,0.13,54.22,19.145
45.12,2,2,2.0,2,1,2.47,0.83,0.45,80.7,76.1018
45.12,2,1,4.0,2,1,3.78,1.52,0.2,35.34,79.70039999999999
32.02,2,1,2.0,1,1,3.78,1.7,0.34,6.39,60.38660000000001
17.61,1,1,1.0,1,1,4.26,1.34,0.47,64.68,58.257000000000005
18.11,3,1,2.0,1,2,2.93,1.61,0.37,74.66,59.711299999999994
44.47,4,1,2.0,3,1,3.34,1.49,0.27,115.73,89.0764
44.47,4,2,3.0,2,1,3.22,1.03,0.38,72.79,77.18900000000001
44.47,3,1,2.0,3,1,4.95,1.71,0.24,59.18,95.1969
39.21,1,1,2.0,1,3,2.88,0.94,0.21,70.94,54.6348
32.46,3,2,3.0,2,1,2.88,1.36,0.5,111.71,102.8806
5.12,1,1,4.0,2,1,3.69,1.62,0.4,42.14,51.45840000000001
8.92,1,1,3.0,1,1,3.69,1.07,0.36,42.14,28.4048
45.03,2,1,1.0,3,1,2.76,0.95,0.24,32.28,53.2857
30.72,2,2,3.0,3,1,4.75,1.19,0.12,35.2,45.5308
1.45,3,2,1.0,3,1,2.8,1.73,0.32,63.01,12.2396
5.97,2,1,4.0,2,2,4.69,1.89,0.32,90.57,44.95569999999999
33.51,2,2,3.0,1,1,2.31,1.32,0.4,62.87,9.8005
1.25,4,1,3.0,1,2,3.97,1.49,0.31,12.8,9.8005
8.88,4,2,4.0,3,1,4.72,1.85,0.44,88.21,59.96039999999999
27.89,2,2,1.0,1,1,2.51,0.65,0.11,97.69,31.3844
34.9,2,2,3.0,2,1,4.9,0.85,0.25,38.29,44.1375
32.95,1,1,1.0,2,1,3.36,1.56,0.19,81.37,40.839400000000005
11.99,3,2,2.0,2,2,4.84,1.74,0.28,54.06,40.839400000000005
35.9,1,2,2.0,3,1,4.03,1.79,0.13,107.25,66.10159999999999
12.63,1,1,3.0,1,1,2.9,1.12,0.48,102.2,66.10159999999999
16.94,1,2,4.0,1,1,2.56,0.63,0.19,65.42,25.662
37.58,2,1,4.0,1,3,2.91,1.16,0.47,84.52,86.22719999999998
32.83,2,2,1.0,2,1,2.43,0.85,0.27,106.59,58.9648
42.61,1,1,3.0,1,2,2.43,0.94,0.49,62.01,72.86829999999999
33.22,4,2,1.0,1,1,2.31,1.66,0.32,41.02,70.5816
28.85,1,1,1.0,3,1,3.27,0.61,0.47,91.67,63.9534
5.59,2,1,2.0,3,1,4.39,1.14,0.1,30.31,17.147599999999997
19.02,4,1,2.0,1,1,2.42,1.14,0.4,49.68,43.974799999999995
13.99,2,1,4.0,3,1,2.39,1.39,0.46,104.56,69.9337
130.80900130744172,2,1,1.0,3,1,3.93,0.63,0.16,88.31,328.87176913785436
48.68,2,1,4.0,1,2,2.59,1.01,0.14,51.44,58.9584
20.26,1,1,3.0,1,2,2.29,0.63,0.27,29.7,23.0728
44.71,4,1,1.0,1,2,2.5,1.94,0.47,45.94,71.4247
31.93,2,1,1.0,2,1,4.77,1.71,0.32,37.67,71.4247
39.95,3,2,3.0,1,1,4.46,1.19,0.31,25.25,59.828
25.63,1,1,3.0,3,1,3.06,0.84,0.16,33.99,39.066
29.27,1,2,4.0,2,2,3.97,1.9,0.1,33.99,62.982
25.13,1,2,4.0,2,2,3.61,1.02,0.42,57.23,53.2792
36.4,2,1,3.0,1,1,4.03,0.74,0.14,49.37,18.7636
36.4,2,1,4.0,2,1,4.05,1.34,0.47,117.94,94.105
14.76,3,2,3.0,2,1,3.89,1.92,0.47,49.98,55.71979999999999
2.19,2,1,1.0,2,1,2.8,0.51,0.18,14.2,6.472899999999999
32.63,4,1,1.0,2,1,2.12,0.86,0.37,15.33,35.8539
9.68,1,1,2.0,2,2,3.37,1.91,0.13,72.94,31.341
47.08,3,2,1.0,3,2,4.67,0.76,0.34,73.93,65.587
47.74,3,1,3.0,3,1,3.71,0.67,0.17,53.16,44.733
45.83,3,1,4.0,2,1,4.5,1.36,0.39,54.66,88.1462
19.14,3,2,2.0,1,3,4.97,1.79,0.22,11.2,41.6946
1.76,3,2,3.0,1,1,2.49,1.22,0.29,64.4,23.3132
46.49,2,1,3.0,1,1,4.08,1.99,0.34,63.05,118.0321
21.98,1,1,1.0,2,1,4.02,1.52,0.17,22.2,41.203599999999994
48.37,1,2,2.0,2,1,4.94,0.61,0.4,19.21,41.2217
48.22,4,1,3.0,2,1,4.96,1.99,0.22,19.21,105.144
42.8,2,1,2.0,3,2,4.06,1.11,0.36,16.62,57.55120000000001
15.43,3,1,2.0,3,1,2.73,0.93,0.16,75.12,29.0991
19.87,2,2,1.0,3,1,4.4,1.34,0.38,27.6,41.5138
42.71,1,1,3.0,1,1,2.32,0.63,0.15,33.91,48.4081
16.53,1,2,4.0,2,1,4.34,0.63,0.27,24.96,21.4931
9.31,2,2,2.0,1,2,4.73,0.5,0.2,115.15,32.415000000000006
28.28,2,1,2.0,1,2,3.15,1.17,0.4,103.28,77.5496
46.87,1,1,4.0,1,1,3.89,1.76,0.2,31.51,92.6832
35.11,2,1,3.0,1,2,3.29,1.36,0.45,42.67,70.2411
28.93,1,1,2.0,2,1,3.31,2.0,0.46,29.14,74.5744
5.76,2,1,2.0,3,3,2.93,0.93,0.18,61.57,19.3694
31.14,3,2,2.0,1,1,4.29,0.92,0.35,7.26,35.4798
49.51,3,1,3.0,2,3,4.81,0.74,0.14,82.21,107.7025
7.86,2,1,3.0,2,2,4.82,0.75,0.26,108.34,107.7025
26.4,2,1,4.0,1,1,2.52,1.69,0.39,108.34,107.7025
43.99,1,1,3.0,2,1,4.62,1.69,0.36,23.91,107.7025
37.3,1,1,3.0,1,3,4.21,1.86,0.35,97.47,107.7025
35.15,2,1,1.0,2,2,2.76,0.85,0.21,96.08,91.8308
116.196063616616,2,2,4.0,2,1,2.2,0.85,0.25,19.63,206.69956969976872
139.06223019422194,2,1,2.0,1,2,2.8,1.82,0.14,50.83,276.84059674137075
40.66,1,1,3.0,1,1,4.74,0.99,0.39,24.57,29.5584
40.66,2,1,2.0,2,1,3.9,0.67,0.3,34.29,41.429199999999994
40.7,3,1,2.0,1,1,4.16,1.81,0.38,35.27,91.2296
43.49,3,1,1.0,1,1,2.77,1.45,0.2,68.97,79.6245
45.75,1,1,3.0,2,2,4.16,0.75,0.23,52.31,50.5038
26.06,2,2,4.0,2,1,2.08,1.14,0.23,113.99,96.546
25.57,1,1,3.0,3,2,3.13,0.93,0.11,19.53,96.546
40.12,1,2,4.0,3,1,3.88,1.61,0.24,116.97,96.546
32.85,4,1,4.0,2,1,2.44,1.18,0.42,31.52,54.441399999999994
35.4,1,1,3.0,3,1,4.47,1.98,0.46,93.88,117.7468
39.99,2,1,2.0,3,1,2.71,0.58,0.31,43.98,39.538
44.61,2,1,1.0,1,1,3.96,1.03,0.28,21.45,55.9143
17.56,3,1,1.0,1,1,3.22,1.22,0.11,103.66,36.0458
5.61,2,1,1.0,1,1,3.79,1.25,0.45,40.52,46.274
5.61,2,1,1.0,3,1,2.32,0.97,0.11,70.14,16.6464
29.34,2,1,2.0,3,1,2.05,1.59,0.48,70.14,82.3678
2.76,2,1,3.0,1,1,4.73,1.81,0.3,59.25,63.171899999999994
23.81,1,2,1.0,2,2,2.81,1.91,0.24,62.02,63.171899999999994
100.38042000901908,2,1,3.0,2,2,4.46,1.78,0.11,89.21,329.91300394014655
15.04,1,1,1.0,1,1,5.0,1.78,0.11,15.09,33.4311
29.95,1,1,4.0,3,1,2.63,1.33,0.33,81.84,69.47070000000001
2.49,2,1,1.0,1,1,2.8,1.74,0.32,108.02,41.699
2.83,1,1,1.0,1,3,3.99,0.96,0.19,11.65,8.920300000000001
41.31,2,1,1.0,2,1,4.9,1.1,0.36,21.18,56.05960000000001
18.65,2,1,1.0,2,1,4.75,0.98,0.36,87.41,54.49459999999999
7.23,3,1,1.0,1,1,3.51,1.2,0.39,55.29,33.7491
26.59,1,1,2.0,2,1,4.39,0.93,0.1,51.41,34.2597
38.73,1,1,3.0,2,1,2.41,1.94,0.47,20.75,87.29869999999998
11.58,1,1,3.0,1,2,4.93,0.97,0.17,63.28,26.9202
31.52,3,1,1.0,1,1,4.89,0.65,0.19,19.55,29.0925
5.18,3,1,2.0,2,1,2.49,1.29,0.21,59.81,21.7323
3.53,1,2,1.0,1,1,2.9,0.59,0.12,92.82,16.1211
27.04,4,1,2.0,3,1,2.3,0.67,0.15,60.29,25.6218
145.74705994904548,1,1,3.0,3,2,2.82,0.83,0.49,60.29,325.0989498083767
32.23,2,1,3.0,3,1,4.45,1.2,0.23,119.08,70.5144
36.58,3,2,4.0,3,2,3.13,1.15,0.15,83.96,57.791
48.82,3,1,2.0,3,1,2.27,1.7,0.14,101.76,99.5104
26.3,3,1,2.0,2,1,3.03,1.61,0.39,52.71,65.9299
16.82,3,1,4.0,1,3,4.94,1.14,0.44,93.3,65.1668
39.96,2,1,4.0,1,1,3.89,1.0,0.2,9.66,45.782
14.27,3,1,2.0,2,2,3.25,0.97,0.11,19.13,19.196199999999997
22.51,1,1,4.0,2,1,2.5,1.66,0.19,28.35,45.2531
4.84,3,1,3.0,2,2,4.96,0.58,0.12,51.22,13.9136
2.24,2,1,1.0,1,1,4.46,0.52,0.14,102.26,19.9412
48.17,3,2,3.0,2,1,2.21,1.69,0.27,44.82,96.3487
41.96,2,2,4.0,1,2,2.21,1.22,0.19,80.28,68.65440000000001
35.1,2,1,2.0,1,2,2.17,0.7,0.31,86.57,53.5767
21.04,2,1,2.0,1,2,2.36,0.85,0.2,72.41,34.726
9.49,3,1,3.0,3,2,3.74,1.9,0.48,46.08,43.889399999999995
8.67,1,1,2.0,3,2,4.79,1.79,0.46,71.36,53.1349
13.26,1,1,4.0,2,1,3.49,1.56,0.33,44.36,38.814400000000006
27.91,1,2,3.0,1,1,4.53,1.22,0.24,119.17,42.0962
36.02,1,2,2.0,1,1,3.34,1.28,0.26,119.17,79.2381
33.35,3,1,1.0,3,1,4.13,1.96,0.26,19.63,74.59979999999999
14.72,1,1,4.0,1,1,4.2,1.95,0.39,13.32,38.0988
47.79,2,2,4.0,1,1,2.52,0.82,0.28,106.03,71.3962
37.16,2,2,2.0,1,1,3.08,1.72,0.44,39.71,84.4676
28.16,1,2,3.0,2,1,3.91,0.8,0.48,79.78,64.7324
21.56,3,1,3.0,2,1,2.21,0.82,0.23,42.84,37.4586
21.56,2,1,1.0,3,1,3.6,1.51,0.32,50.02,23.105000000000004
13.14,2,1,3.0,1,1,3.6,1.11,0.14,35.14,23.105000000000004
18.44,2,1,2.0,1,2,4.99,1.9,0.18,44.45,48.027
38.13,1,1,4.0,3,2,3.42,0.63,0.27,52.23,41.544
1.71,1,1,4.0,3,1,4.45,1.27,0.18,87.85,22.4347
6.69,4,1,4.0,1,1,3.3,1.88,0.45,9.82,44.6007
3.25,4,1,3.0,2,1,4.39,1.86,0.16,9.82,28.5966
3.0,2,1,1.0,1,1,3.79,0.73,0.28,9.82,8.729600000000001
42.92,1,1,3.0,3,1,4.66,1.05,0.34,62.85,71.095
35.48,2,1,3.0,1,1,3.23,1.43,0.38,72.19,81.39859999999999
116.66768073006573,1,1,2.0,3,1,3.81,0.74,0.25,110.82,248.29520891209057
5.79,1,1,2.0,2,1,3.89,1.95,0.45,10.65,19.973
25.09,1,2,2.0,2,3,3.25,1.87,0.33,70.95,73.5818
24.2,2,1,1.0,1,3,2.43,0.75,0.28,103.17,49.4676
9.49,3,1,1.0,2,1,2.28,0.68,0.13,32.82,12.9998
22.26,3,1,2.0,2,1,4.62,0.63,0.29,105.77,46.7471
31.18,3,1,1.0,1,1,4.62,1.86,0.43,7.19,45.89750000000001
31.18,2,1,1.0,2,1,2.71,0.79,0.35,89.23,58.5727
32.12,2,1,4.0,3,2,2.63,1.12,0.43,112.31,86.89770000000001
3.22,2,1,1.0,2,1,4.21,1.17,0.3,80.58,32.151399999999995
19.36,4,1,1.0,2,2,2.96,1.4,0.15,55.49,38.3875
31.67,1,1,1.0,1,1,3.52,0.84,0.11,10.16,23.9563
25.65,3,1,2.0,2,3,2.49,0.84,0.22,110.81,48.4142
42.97,2,2,4.0,1,1,4.88,1.9,0.38,59.08,108.9734
33.28,3,1,1.0,2,2,4.55,1.86,0.42,8.33,69.9494
8.98,3,2,2.0,3,1,4.59,1.67,0.22,84.33,38.1392
4.46,2,2,3.0,2,1,3.22,0.53,0.3,60.41,23.7068
32.48,3,1,3.0,1,1,4.29,0.99,0.27,19.3,41.65619999999999
2.3,4,2,3.0,1,1,2.43,1.44,0.26,29.64,13.4484
47.07,2,1,3.0,2,2,2.03,0.91,0.19,12.42,31.4168
47.07,1,1,4.0,2,2,2.06,1.86,0.15,71.04,100.2662
29.2,2,1,3.0,3,2,3.76,1.45,0.18,76.53,59.87539999999999
20.02,4,1,3.0,3,1,3.37,0.61,0.12,63.16,23.1614
32.52,1,1,4.0,2,2,3.55,1.86,0.18,98.97,81.85180000000001
23.45,2,1,1.0,1,1,2.02,1.94,0.1,104.02,57.915
27.74,2,1,1.0,1,1,4.15,0.62,0.35,75.8,46.9988
47.13,3,1,4.0,1,1,4.15,1.3,0.23,6.47,66.90710000000001
